Player,Nation,Pos,Squad,Age,90s,MP,Gls,Ast,Sh,SoT,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Tkl,Int,Clr,Blocks,Def 3rd,Mid 3rd,Att 3rd,TklW,Succ_x,KP,PassLive,PassDead,PrgP,market_value_in_eur,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ_y,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC,1/3_possession,CPA,Mis,Dis,Rec,PrgR
Aaron Cresswell,ENG,"DF,FW",West Ham,33.0,4.8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,1.0,254.0,308.0,82.5,3.0,3.0,7.0,3.0,1.0,1.0,1.0,2.0,0.0,5.0,7.0,3.0,26.0,900000.0,326.0,18.0,125.0,141.0,61.0,1.0,326.0,1.0,0.0,0.0,1.0,100.0,169.0,522.0,220.0,4.0,5.0,0.0,0.0,2.0,210.0,6.0
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,25.0,19.8,22,0.0,2.0,3.0,1.0,0.1,0.1,1.4,26.0,3.0,823.0,986.0,83.5,42.0,41.0,68.0,27.0,18.0,20.0,4.0,25.0,17.0,12.0,24.0,1.0,77.0,20000000.0,1225.0,85.0,424.0,538.0,278.0,24.0,1225.0,32.0,17.0,53.1,9.0,28.1,594.0,2909.0,1429.0,30.0,27.0,4.0,20.0,9.0,691.0,54.0
Aarón Martín,ESP,DF,Genoa,26.0,15.3,22,0.0,1.0,5.0,0.0,0.2,0.2,1.7,33.0,2.0,431.0,619.0,69.6,21.0,9.0,15.0,22.0,7.0,10.0,4.0,10.0,6.0,26.0,20.0,12.0,35.0,5000000.0,703.0,26.0,166.0,288.0,255.0,10.0,703.0,12.0,6.0,50.0,6.0,50.0,367.0,1839.0,972.0,28.0,21.0,3.0,12.0,4.0,432.0,72.0
Abakar Sylla,CIV,DF,Strasbourg,20.0,19.9,22,2.0,0.0,11.0,5.0,1.6,1.6,0.2,14.0,1.0,1111.0,1266.0,87.8,54.0,26.0,70.0,5.0,30.0,19.0,5.0,23.0,9.0,5.0,12.0,0.0,72.0,12000000.0,1490.0,201.0,717.0,729.0,56.0,18.0,1490.0,13.0,9.0,69.2,4.0,30.8,1060.0,5999.0,3215.0,8.0,11.0,0.0,14.0,7.0,962.0,2.0
Abdel Abqar,MAR,DF,Alavés,24.0,25.7,27,0.0,0.0,10.0,3.0,0.5,0.5,0.2,12.0,0.0,553.0,762.0,72.6,35.0,23.0,115.0,10.0,28.0,5.0,2.0,19.0,3.0,3.0,9.0,0.0,49.0,7500000.0,1032.0,191.0,570.0,422.0,42.0,21.0,1032.0,5.0,3.0,60.0,1.0,20.0,492.0,2460.0,1418.0,7.0,6.0,0.0,15.0,1.0,499.0,1.0
Abdou Harroui,NED,"MF,FW",Frosinone,25.0,11.3,18,3.0,3.0,32.0,11.0,3.1,2.3,1.4,39.0,4.0,303.0,383.0,79.1,23.0,5.0,8.0,11.0,11.0,11.0,1.0,11.0,19.0,16.0,27.0,0.0,38.0,2700000.0,564.0,11.0,79.0,276.0,220.0,32.0,563.0,44.0,19.0,43.2,21.0,47.7,308.0,2227.0,1221.0,43.0,31.0,8.0,28.0,7.0,378.0,56.0
Abdoulaye Doucouré,MLI,"FW,MF",Everton,30.0,29.2,32,7.0,1.0,47.0,21.0,8.8,8.8,1.5,67.0,5.0,683.0,893.0,76.5,43.0,15.0,19.0,29.0,20.0,14.0,9.0,27.0,25.0,34.0,59.0,0.0,97.0,10000000.0,1190.0,36.0,188.0,523.0,495.0,100.0,1190.0,48.0,25.0,52.1,21.0,43.8,635.0,3292.0,1692.0,55.0,37.0,17.0,61.0,42.0,800.0,140.0
Abdoulaye Touré,GUI,MF,Le Havre,29.0,25.4,30,2.0,0.0,31.0,8.0,3.0,1.4,0.9,44.0,1.0,1031.0,1238.0,83.3,47.0,25.0,33.0,19.0,22.0,22.0,3.0,28.0,29.0,12.0,37.0,0.0,148.0,3000000.0,1504.0,77.0,385.0,946.0,194.0,17.0,1502.0,42.0,29.0,69.0,12.0,28.6,1107.0,5683.0,2425.0,22.0,37.0,2.0,37.0,28.0,1006.0,25.0
Abdukodir Khusanov,UZB,DF,Lens,19.0,9.0,11,0.0,0.0,5.0,2.0,0.2,0.2,0.2,6.0,0.0,383.0,439.0,87.2,21.0,13.0,32.0,1.0,13.0,8.0,0.0,12.0,1.0,1.0,3.0,0.0,23.0,5000000.0,535.0,61.0,275.0,234.0,29.0,3.0,535.0,2.0,1.0,50.0,1.0,50.0,388.0,1981.0,757.0,5.0,4.0,0.0,6.0,0.0,349.0,1.0
Abdul Mumin,GHA,DF,Rayo Vallecano,25.0,18.8,20,1.0,0.0,6.0,1.0,0.4,0.4,0.1,11.0,0.0,617.0,773.0,79.8,19.0,22.0,82.0,3.0,13.0,4.0,2.0,10.0,2.0,4.0,8.0,0.0,38.0,4000000.0,956.0,127.0,578.0,359.0,25.0,8.0,956.0,4.0,2.0,50.0,1.0,25.0,492.0,2318.0,989.0,6.0,2.0,0.0,7.0,3.0,558.0,4.0
Abdón Prats,ESP,"FW,MF",Mallorca,30.0,14.1,34,6.0,1.0,33.0,14.0,3.2,3.2,1.2,23.0,3.0,132.0,240.0,55.0,6.0,2.0,12.0,14.0,2.0,2.0,2.0,4.0,8.0,14.0,16.0,1.0,26.0,1800000.0,376.0,16.0,34.0,171.0,181.0,43.0,376.0,18.0,8.0,44.4,10.0,55.6,183.0,830.0,285.0,9.0,9.0,5.0,41.0,10.0,266.0,49.0
Abner,BRA,DF,Betis,23.0,15.6,23,0.0,1.0,4.0,0.0,0.1,0.1,1.0,14.0,0.0,615.0,797.0,77.2,25.0,15.0,62.0,23.0,15.0,9.0,1.0,19.0,7.0,8.0,13.0,0.0,33.0,7000000.0,966.0,72.0,344.0,405.0,226.0,28.0,966.0,13.0,7.0,53.8,5.0,38.5,447.0,1802.0,949.0,14.0,10.0,5.0,18.0,11.0,502.0,58.0
