,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk_passing,Nation_passing,Pos_passing,Squad_passing,Comp_passing,Age_passing,Born_passing,90s_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches_passing,Rk_passtype,Nation_passtype,Pos_passtype,Squad_passtype,Comp_passtype,Age_passtype,Born_passtype,90s_passtype,Att_passtype,Live,Dead,FK_passtype,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_passtype,Off,Blocks,Matches_passtype,Rk_gsc,Nation_gsc,Pos_gsc,Squad_gsc,Comp_gsc,Age_gsc,Born_gsc,90s_gsc,SCA,SCA90,PassLive,PassDead,TO,Sh_gsc,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches_gsc,Rk_defense,Nation_defense,Pos_defense,Squad_defense,Comp_defense,Age_defense,Born_defense,90s_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_defense,Tkl%,Lost,Blocks_defense,Sh_defense,Pass,Int,Tkl+Int,Clr,Err,Matches_defense,Rk_possession,Nation_possession,Pos_possession,Squad_possession,Comp_possession,Age_possession,Born_possession,90s_possession,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC,1/3_possession,CPA,Mis,Dis,Rec,PrgR,Matches_possession,Rk_playingtime,Nation_playingtime,Pos_playingtime,Squad_playingtime,Comp_playingtime,Age_playingtime,Born_playingtime,MP,Min,Mn/MP,Min%,90s_playingtime,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches_playingtime
0,,Aaron Ciammaglichella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,it ITA,MF,Torino,it Serie A,18.0,2005.0,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
1,602.0,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,602.0,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,254.0,308.0,82.5,4176.0,1722.0,142.0,155.0,91.6,80.0,96.0,83.3,25.0,48.0,52.1,0.0,0.4,0.3,-0.4,5.0,15.0,4.0,0.0,26.0,Matches,602.0,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,308.0,245.0,63.0,9.0,0.0,4.0,11.0,50.0,4.0,1.0,3.0,0.0,254.0,0.0,3.0,Matches,602.0,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,12.0,2.48,7.0,3.0,0.0,0.0,2.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,Matches,602.0,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,5.0,3.0,2.0,3.0,6.0,7.0,0.0,Matches,602.0,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,326.0,18.0,125.0,141.0,61.0,1.0,326.0,1.0,0.0,0.0,1.0,100.0,169.0,522.0,220.0,4.0,5.0,0.0,0.0,2.0,210.0,6.0,Matches,747,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,11,436.0,40.0,12.7,4.8,4,77.0,2,7,18.0,21,1.0,6.0,11.0,-5.0,-1.03,-0.76,6.6,5.6,0.9,0.19,0.79,Matches
2,1136.0,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,7.9,0.0,7.0,1.0,14.3,0.88,0.13,0.0,0.0,25.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Matches,1136.0,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,7.9,243.0,277.0,87.7,3813.0,894.0,134.0,140.0,95.7,92.0,106.0,86.8,14.0,20.0,70.0,0.0,0.1,0.1,-0.1,1.0,10.0,2.0,0.0,21.0,Matches,1136.0,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,7.9,277.0,254.0,23.0,3.0,1.0,3.0,5.0,20.0,0.0,0.0,0.0,0.0,243.0,0.0,7.0,Matches,1136.0,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,7.9,7.0,0.88,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1136.0,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,7.9,16.0,9.0,9.0,3.0,4.0,7.0,7.0,100.0,0.0,7.0,3.0,4.0,3.0,19.0,10.0,0.0,Matches,1136.0,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,7.9,356.0,25.0,132.0,155.0,76.0,7.0,356.0,14.0,5.0,35.7,5.0,35.7,212.0,1107.0,505.0,9.0,3.0,1.0,14.0,5.0,225.0,13.0,Matches,1421,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,9,713.0,79.0,20.8,7.9,9,79.0,2,0,,0,1.11,10.0,12.0,-2.0,-0.25,-0.02,10.3,10.3,0.1,0.01,-0.07,Matches
3,1585.0,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,1585.0,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1585.0,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1585.0,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1585.0,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1585.0,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1961,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,8,3.0,0.0,0.0,0.0,0.0,-0.53,0.0,0.0,0.0,0.0,-0.36,Matches
4,2185.0,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,2185.0,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6.0,131.0,188.0,69.7,3303.0,2420.0,38.0,38.0,100.0,61.0,62.0,98.4,32.0,86.0,37.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Matches,2185.0,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6.0,188.0,153.0,35.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,2.0,Matches,2185.0,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2185.0,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,Matches,2185.0,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6.0,197.0,140.0,186.0,11.0,0.0,0.0,197.0,0.0,0.0,,0.0,,137.0,697.0,399.0,0.0,0.0,0.0,1.0,0.0,104.0,0.0,Matches,2706,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6,540.0,90.0,15.8,6.0,6,90.0,6,0,,31,2.67,11.0,5.0,6.0,1.0,-0.75,11.1,5.8,5.3,0.89,-0.45,Matches
5,2186.0,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,5.9,0.0,6.0,2.0,33.3,1.02,0.34,0.0,0.0,16.5,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,Matches,2186.0,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,5.9,118.0,151.0,78.1,1856.0,224.0,71.0,84.0,84.5,37.0,46.0,80.4,9.0,10.0,90.0,0.0,0.4,0.5,-0.4,1.0,7.0,2.0,0.0,8.0,Matches,2186.0,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,5.9,151.0,141.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,118.0,1.0,9.0,Matches,2186.0,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,5.9,5.0,0.85,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2186.0,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,5.9,17.0,14.0,7.0,5.0,5.0,8.0,16.0,50.0,8.0,11.0,2.0,9.0,1.0,18.0,10.0,0.0,Matches,2186.0,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,5.9,228.0,15.0,63.0,102.0,65.0,9.0,228.0,10.0,3.0,30.0,6.0,60.0,117.0,514.0,168.0,8.0,5.0,4.0,11.0,10.0,142.0,17.0,Matches,2707,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,14,527.0,38.0,15.4,5.9,5,68.0,0,9,21.0,3,0.36,4.0,17.0,-13.0,-2.22,-1.47,5.4,11.5,-6.1,-1.04,-0.31,Matches
6,2415.0,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,6.9,1.0,14.0,6.0,42.9,2.04,0.87,0.07,0.17,16.8,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Matches,2415.0,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,6.9,110.0,190.0,57.9,1535.0,254.0,66.0,99.0,66.7,33.0,65.0,50.8,4.0,6.0,66.7,0.0,0.7,0.6,-0.7,9.0,9.0,1.0,0.0,10.0,Matches,2415.0,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,6.9,190.0,176.0,12.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,110.0,2.0,7.0,Matches,2415.0,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,6.9,13.0,1.89,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2415.0,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,6.9,3.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,8.0,2.0,6.0,1.0,4.0,9.0,0.0,Matches,2415.0,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,6.9,283.0,13.0,20.0,136.0,128.0,31.0,283.0,11.0,3.0,27.3,7.0,63.6,123.0,451.0,117.0,7.0,3.0,3.0,26.0,12.0,214.0,35.0,Matches,2990,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,16,619.0,39.0,20.2,6.9,5,72.0,2,11,23.0,2,0.5,6.0,15.0,-9.0,-1.31,0.42,5.7,13.5,-7.8,-1.14,0.08,Matches
7,2741.0,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.8,0.0,3.0,1.0,33.3,0.15,0.05,0.0,0.0,20.2,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,2741.0,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.8,823.0,986.0,83.5,10824.0,3539.0,536.0,599.0,89.5,243.0,285.0,85.3,19.0,38.0,50.0,2.0,1.5,1.4,0.5,12.0,51.0,16.0,3.0,77.0,Matches,2741.0,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.8,986.0,839.0,145.0,7.0,0.0,1.0,14.0,138.0,0.0,0.0,0.0,0.0,823.0,2.0,27.0,Matches,2741.0,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.8,26.0,1.31,24.0,1.0,0.0,0.0,1.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Matches,2741.0,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.8,42.0,25.0,18.0,20.0,4.0,19.0,26.0,73.1,7.0,29.0,15.0,14.0,41.0,83.0,68.0,1.0,Matches,2741.0,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.8,1225.0,85.0,424.0,538.0,278.0,24.0,1225.0,32.0,17.0,53.1,9.0,28.1,594.0,2909.0,1429.0,30.0,27.0,4.0,20.0,9.0,691.0,54.0,Matches,3379,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,22,1780.0,81.0,52.0,19.8,20,88.0,16,2,11.0,3,1.32,30.0,34.0,-4.0,-0.2,-0.37,25.3,37.9,-12.7,-0.64,-0.65,Matches
8,823.0,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27.0,1995.0,1.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,823.0,es ESP,GK,Las Palmas,es La Liga,27.0,1995.0,1.7,64.0,86.0,74.4,1579.0,1172.0,15.0,15.0,100.0,29.0,29.0,100.0,18.0,39.0,46.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,823.0,es ESP,GK,Las Palmas,es La Liga,27.0,1995.0,1.7,86.0,65.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0,Matches,823.0,es ESP,GK,Las Palmas,es La Liga,27.0,1995.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,823.0,es ESP,GK,Las Palmas,es La Liga,27.0,1995.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Matches,823.0,es ESP,GK,Las Palmas,es La Liga,27.0,1995.0,1.7,88.0,69.0,87.0,1.0,0.0,0.0,88.0,0.0,0.0,,0.0,,42.0,156.0,108.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,Matches,1019,es ESP,GK,Las Palmas,es La Liga,27.0,1995.0,2,153.0,77.0,4.5,1.7,1,90.0,1,1,63.0,33,0.33,1.0,4.0,-3.0,-1.76,-1.46,0.3,3.7,-3.5,-2.04,-1.49,Matches
9,1630.0,Aarón Martín,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.3,0.0,5.0,0.0,0.0,0.33,0.0,0.0,,24.8,2.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Matches,1630.0,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.3,431.0,619.0,69.6,7748.0,2727.0,195.0,216.0,90.3,169.0,227.0,74.4,54.0,128.0,42.2,1.0,1.7,1.7,-0.7,26.0,26.0,16.0,11.0,35.0,Matches,1630.0,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.3,619.0,495.0,119.0,16.0,0.0,2.0,106.0,71.0,32.0,7.0,21.0,0.0,431.0,5.0,22.0,Matches,1630.0,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.3,33.0,2.16,20.0,12.0,1.0,0.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Matches,1630.0,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.3,21.0,10.0,7.0,10.0,4.0,9.0,22.0,40.9,13.0,12.0,4.0,8.0,9.0,30.0,15.0,0.0,Matches,1630.0,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.3,703.0,26.0,166.0,288.0,255.0,10.0,703.0,12.0,6.0,50.0,6.0,50.0,367.0,1839.0,972.0,28.0,21.0,3.0,12.0,4.0,432.0,72.0,Matches,2021,es ESP,DF,Genoa,it Serie A,26.0,1997.0,22,1376.0,63.0,40.2,15.3,17,76.0,7,5,17.0,10,1.27,22.0,20.0,2.0,0.13,0.22,14.2,19.4,-5.2,-0.34,-0.26,Matches
