player_id,name,market_value_in_eur
3333,James Milner,1000000
5336,Anastasios Tsokanis,350000
7161,Jonas Hofmann,7000000
7825,Pepe Reina,600000
11530,Lionel Carole,550000
12029,Ludovic Butelle,100000
12282,Daley Blind,3000000
12589,Craig Gordon,150000
12880,Dimitrios Sotiriou,100000
12907,Alessio Cragno,1500000
14086,Ashley Young,500000
14555,Scott Carson,200000
15452,Raúl Albiol,1500000
15570,Igor Akinfeev,1000000
15956,Jesús Navas,2500000
16136,Dante,500000
16306,Casemiro,15000000
16756,Oleg Ivanov,100000
16911,Kasper Schmeichel,1000000
17259,Manuel Neuer,4000000
19619,Oleksandr Rybka,100000
22860,Jesper Hansen,100000
23523,Thomas Mikkelsen,25000
23951,Steve Mandanda,800000
24846,Ricardo Batista,100000
25520,Remko Pasveer,150000
27178,Rúben Fernandes,100000
27493,Iván Cuéllar,100000
27706,Mikhail Kerzhakov,400000
27807,Daniele Padelli,150000
27992,Luka Modric,6000000
28356,Denis Petric,100000
28396,Edin Dzeko,2500000
29364,João Moutinho,800000
29559,Guillermo Ochoa,1000000
29692,Lukasz Fabianski,700000
29712,John Ruddy,200000
30290,Kenneth Vermeer,50000
30321,Óscar Trejo,1000000
31067,Jonathan de Guzmán,250000
31599,Norman Theuerkauf,300000
31653,Tobias Sippel,300000
32113,Armando Izzo,2500000
33210,Przemyslaw Tyton,100000
33571,Lorenzo De Silvestri,400000
33706,Nani,200000
33781,Vito Mannone,200000
33829,José Fonte,100000
33862,Sinan Bolat,500000
33873,Asmir Begovic,300000
34130,Tom Heaton,250000
34784,Lasse Schöne,175000
35047,Axel Witsel,3500000
35247,Vieirinha,300000
36139,Dusan Tadic,3200000
36898,Sascha Burchert,200000
37838,Dejan Lovren,1000000
38195,Kenan Özer,75000
38253,Robert Lewandowski,15000000
38780,Vítor Gomes,100000
39125,Borna Barisic,3000000
39333,Caner Erkin,175000
39728,Mats Hummels,5000000
40014,Alaixys Romao,25000
40034,Jens Grahl,200000
40433,Alexis Sánchez,2500000
40478,Roman Neustädter,200000
40633,Milan Badelj,800000
40680,Sven Ulreich,700000
40687,Mathieu Valbuena,125000
40792,Manuel Riemann,300000
41131,Trevor Carson,150000
41355,Ricky van Wolfswinkel,550000
41384,Marko Arnautovic,4000000
42205,Yann Sommer,5000000
42412,Jonny Evans,2000000
42460,Ivan Perisic,2000000
42710,Toby Alderweireld,2800000
42717,Jo Coppens,200000
42735,Sven Kums,400000
42913,Lasse Nielsen,100000
43250,Jan Vertonghen,1500000
43530,Adam Lallana,1000000
43824,Kevin Müller,1000000
43858,Adam Legzdins,100000
44058,Wojciech Szczęsny,3000000
44162,Miralem Pjanic,3000000
44726,Anders Jacobsen,300000
44996,Serdar Aziz,350000
45026,Rui Patrício,1000000
45320,Ángel Di María,3000000
45333,James McCarthy,200000
45403,André Ayew,800000
45666,Björn Kopplin,200000
45671,Cenk Tosun,1700000
45672,Kevin Trapp,4000000
45683,Manuel Gulde,1500000
45717,Nenê,50000
46083,Domagoj Vida,1000000
46413,Ante Budimir,5000000
46580,Andrej Kramaric,5000000
47004,Aleksandr Dovbnya,50000
48015,Lukas Hradecky,2500000
48067,Artem Dzyuba,2000000
48119,Danijel Aleksic,750000
48870,Jonas Lössl,400000
49723,Timothy Chandler,500000
50219,Simon Mignolet,2000000
50355,Fedor Smolov,2000000
50655,Efecan Karaca,350000
51274,Rizvan Utsiev,50000
51471,Mateo Kovacic,30000000
51894,Mert Günok,1200000
51977,Pavao Pervan,300000
52059,Zanka,1000000
52261,Volkan Babacan,75000
52281,Güray Vural,150000
52403,Dimitrios Siovas,350000
52570,Fraser Forster,1200000
52723,Dávid Gróf,150000
52769,Willian,2000000
53418,Kevin Kampl,3500000
53622,İlkay Gündoğan,12000000
53696,Lars Unnerstall,3500000
54781,Nicolás Otamendi,1000000
54906,Matteo Darmian,4000000
55089,Oliver Baumann,3000000
55099,Nicolas Höfler,1000000
55336,Denis Glushakov,150000
55508,Lewis Holtby,500000
55605,Hasan Ali Kaldırım,100000
55619,Nordin Amrabat,300000
55735,Henrikh Mkhitaryan,6000000
55769,Danilo D'Ambrosio,1000000
56100,Leon Balogun,150000
56354,Andreas Bjelland,75000
56416,Dries Mertens,1800000
56490,Jeremy Bokila,125000
56523,Michiel Kramer,175000
56831,Juan Neira,150000
56836,Aaron Meijers,150000
57071,Péter Gulácsi,3000000
57303,Joeri de Kamps,200000
57500,César Azpilicueta,2000000
57723,Iván Marcano,250000
57796,Vitus Eicher,250000
57895,Denys Oliynyk,100000
58088,Fernando Muslera,1100000
58358,Thomas Müller,8000000
58489,Kyriakos Papadopoulos,350000
58939,Oleksiy Palamarchuk,250000
58965,Rúben Lima,100000
58971,Giorgiy Shelia,500000
58993,Junior Hoilett,150000
58995,Anthony Jung,1000000
59016,David Alaba,15000000
59145,Gernot Trauner,3500000
59248,Miguel Lopes,50000
59322,Oleksandr Karavaev,1800000
59323,Cristhian Stuani,1800000
59377,David de Gea,5000000
59543,Andy Halliday,250000
59561,Dani Parejo,2500000
59641,Denis Odoi,300000
59791,Jorge Teixeira,50000
59877,Ruslan Chernenko,200000
59896,Dmytro Khomchenovskyi,250000
59970,Taras Stepanenko,2500000
60543,Mathieu Gorgelin,200000
60561,Anthony Lopes,2000000
61336,Brian Hamalainen,100000
61397,Sergey Pesjakov,500000
61651,Jordan Henderson,4000000
61697,Wes Foderingham,900000
61764,Marco Matias,100000
61812,Yuri Berchiche,1800000
61841,Adam Smith,1000000
61842,Andros Townsend,1400000
61887,Federico Macheda,275000
62094,James Tavernier,6000000
62163,Nicky Clark,250000
62351,Abdoulaye Bamba,400000
62514,Aleksandr Belenov,250000
63463,Daniel Wass,1000000
63489,Vasilios Lampropoulos,300000
63491,Andreas Vasilogiannis,175000
64246,Yannick Thoelen,200000
64371,Pedro Moreira,100000
64399,Vicente Guaita,800000
64793,Leonardo Pavoletti,800000
64804,Thierry Moutinho,150000
65278,Pedro,1000000
66100,Oriol Romeu,2000000
67063,Danny Welbeck,5000000
67556,Milan Djuric,1500000
68033,Steven Zuber,1800000
68390,Séamus Coleman,500000
68645,Martín Montoya,700000
68863,Mauro Icardi,15000000
68983,Kevin Mensah,250000
69015,Andriy Yarmolenko,2000000
69511,Patrick Mortensen,400000
69633,Christian Eriksen,8000000
69642,Nicolai Boilesen,300000
70074,Artur Nigmatullin,700000
70114,Anton Zabolotnyi,900000
70131,Ondrej Celustka,75000
70359,David Simão,200000
70411,Darko Lazović,1500000
70580,Raffaele Di Gennaro,300000
70923,Bogdan Kogut,100000
71271,Adrián,600000
71292,Jonjo Shelvey,2000000
72047,Iago Aspas,3000000
72402,Frederik Gytkjaer,400000
72414,Geoffrey Lembet,150000
72441,Rafael Tolói,2500000
72476,Bernd Leno,13000000
72522,Luuk de Jong,3500000
72736,Guillaume François,150000
72768,Nélson Oliveira,500000
73269,Javier Matilla,125000
73517,Ørjan Nyland,1400000
73564,Jason Steele,3500000
73700,Nikolaos Kaltsas,300000
73794,Duván Zapata,5000000
73926,Davide Faraoni,1500000
74081,Sergey Terekhov,500000
74229,Koke,12000000
74230,Pablo Sarabia,8000000
74294,Nemanja Gudelj,3500000
74641,İsmail Köybaşı,50000
74683,Nemanja Matic,3000000
74810,Ben Mee,1000000
74842,Mario Götze,5500000
74857,Marc-André ter Stegen,20000000
74960,Martin Dúbravka,1000000
75411,Carlo Pinsoglio,200000
75458,Robin Olsen,1500000
75489,Niclas Füllkrug,15000000
75852,Miiko Albornoz,200000
75921,Christopher Trimmel,600000
76028,Taison,500000
76158,Alexander Meyer,800000
76274,Christian Gytkjaer,700000
76326,Tjaronn Chery,350000
76467,Kiko Femenía,1400000
77547,Ehsan Hajsafi,500000
77710,Necip Uysal,650000
77715,Curtis Main,300000
78047,Brice Maubleu,350000
78507,Derrick Tshimanga,100000
78570,Anthony Moris,2000000
78819,David Jensen,200000
78961,Gary Mackay-Steven,250000
79045,Jeroen Zoet,400000
79110,Fodé Koita,100000
79194,Erik Schouten,300000
79294,Eloy Room,300000
79612,Stefan Schwab,900000
79967,Simon Zoller,350000
80059,Serdar Dursun,600000
80293,Aïssa Mandi,1800000
80312,Mykyta Shevchenko,400000
80339,Graham Carey,250000
80894,Lukasz Skorupski,3500000
81512,Christian Kabasele,1000000
82009,Kevin Volland,4000000
82048,Nicola Sansone,1000000
82281,Ivo Pinto,450000
82350,Stefan Bell,800000
82503,Aridane Hernández,500000
82873,Pascal Groß,8000000
84301,Benjamin André,8000000
84435,Kevin Vogt,2000000
84483,Aleksandr Erokhin,400000
84711,João Aurélio,75000
84938,Timo Horn,800000
84992,James Forrest,1000000
85177,Nathaniel Clyne,1500000
85288,Isco,8000000
85291,Soner Aydoğdu,100000
85295,Iván Balliu,2000000
85370,Sergi Roberto,2500000
85372,Enric Saborit,500000
85393,Nicolas Viola,800000
85543,Niklas Lomb,250000
85627,Scott Bain,250000
85791,Stefan Lainer,2500000
85904,Gerrit Nauber,450000
85906,Danny da Costa,800000
85941,Stefan Ortega,9000000
86202,Antonio Rüdiger,25000000
86784,Ricardo Rodríguez,3500000
87854,Fredy,450000
87884,Mário Rui,1500000
88103,James Rodríguez,5000000
88262,Dedryck Boyata,500000
88348,Alexandros Paschalakis,700000
88374,Veysel Sarı,175000
88595,Mauro Vigorito,150000
88647,Andreas Albers,300000
88680,Luca Caldirola,1300000
88682,Mattia De Sciglio,1000000
88685,Antonio Donnarumma,325000
88755,Kevin De Bruyne,45000000
88879,Artem Kychak,50000
89200,Rasmus Falk,850000
89654,Edisson Jordanov,400000
90317,Daniel Batz,350000
