,,,,,,,,,,,,,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,,-additional
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-9999
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
1,Max Aarons,2023-2024,23,eng ENG,Bournemouth,eng Premier League,20,1237,13.7,13,7,5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,774cf58b
2,Tosin Adarabioyo,2023-2024,25,eng ENG,Fulham,eng Premier League,20,1617,18.0,18,2,2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,c81d773d
3,Elijah Adebayo,2023-2024,25,eng ENG,Luton Town,eng Premier League,27,1419,15.8,16,11,0,0.6,0.0,0.6,0.6,0.0,0.0,0.0,FW,0480ebc7
4,Simon Adingra,2023-2024,21,ci CIV,Brighton,eng Premier League,31,2222,24.7,25,6,1,0.2,0.0,0.3,0.2,0.0,0.0,0.0,FW,4dcec659
5,Nayef Aguerd,2023-2024,27,ma MAR,West Ham,eng Premier League,21,1857,20.6,21,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,288e1e13
6,Anel Ahmedhodžić,2023-2024,24,ba BIH,Sheffield Utd,eng Premier League,31,2649,29.4,29,2,0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,eab957a3
7,Ola Aina,2023-2024,26,ng NGA,Nott'ham Forest,eng Premier League,22,1692,18.8,20,2,3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,DF,246d153b
8,Rayan Aït-Nouri,2023-2024,22,dz ALG,Wolves,eng Premier League,33,2329,25.9,29,4,0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DFMF,9b398aea
9,Kristoffer Ajer,2023-2024,25,no NOR,Brentford,eng Premier League,28,1832,20.4,21,7,1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,a8c0acb7
10,Manuel Akanji,2023-2024,28,ch SUI,Manchester City,eng Premier League,30,2511,27.9,28,2,4,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DFMF,89ac64a6
11,Nathan Aké,2023-2024,28,nl NED,Manchester City,eng Premier League,29,2042,22.7,24,5,6,0.1,0.1,0.2,0.1,0.0,0.0,0.0,DF,eaeca114
12,Trent Alexander-Arnold,2023-2024,24,eng ENG,Liverpool,eng Premier League,28,2155,23.9,25,3,0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,DF,cd1acf9d
13,Alisson,2023-2024,30,br BRA,Liverpool,eng Premier League,28,2520,28.0,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,7a2e46a8
14,Miguel Almirón,2023-2024,29,py PAR,Newcastle Utd,eng Premier League,33,1937,21.5,23,10,0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,FW,862a1c15
15,Edson Álvarez,2023-2024,25,mx MEX,West Ham,eng Premier League,31,2377,26.4,28,3,1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,MF,8b3ab7ad
16,Julián Álvarez,2023-2024,23,ar ARG,Manchester City,eng Premier League,36,2647,29.4,31,5,2,0.4,0.3,0.6,0.3,0.1,0.1,0.0,MFFW,15ab5a2b
17,Zeki Amdouni,2023-2024,22,ch SUI,Burnley,eng Premier League,34,1953,21.7,27,7,4,0.2,0.0,0.3,0.2,0.0,0.0,0.0,FW,2ee5b0c9
18,Sofyan Amrabat,2023-2024,26,ma MAR,Manchester Utd,eng Premier League,21,938,10.4,10,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MFDF,5a2cb25d
19,Joachim Andersen,2023-2024,27,dk DEN,Crystal Palace,eng Premier League,38,3415,37.9,38,0,0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,DF,e34fc66d
20,Elliot Anderson,2023-2024,20,eng ENG,Newcastle Utd,eng Premier League,21,1027,11.4,10,11,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,MFFW,de31038e
21,Michail Antonio,2023-2024,33,jm JAM,West Ham,eng Premier League,26,1695,18.8,21,5,0,0.3,0.1,0.4,0.3,0.0,0.0,0.0,FW,ac05f970
22,Antony,2023-2024,23,br BRA,Manchester Utd,eng Premier League,29,1324,14.7,15,14,4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,FW,99127249
23,Oliver Arblaster,2023-2024,19,eng ENG,Sheffield Utd,eng Premier League,12,943,10.5,11,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,afe1a491
